verifyName,betweenness,closeness,follow,posts,interval,length,movie_posts,reposts,coapper_posts,boxoffice,fans,id
万昌皓,18167,0.3527,196,392,355418.8776,51.65306122,151,6,0,0,34,1247048427
贾雯,18013,0.3838,290,158,658053.038,44.30379747,43,5,0,0,34,1340059341
田甜,38650,0.3942,455,1201,97982.398,62.76269775,492,115,0,0,34,2177874921
姜天阳,19636,0.3689,254,308,451169.026,38.39285714,60,23,1662,95.5833,34,1826257765
魏微,21048,0.3628,233,3381,40071.21562,38.99822538,882,170,0,0,34,1855390965
高慈遥,22886,0.3667,234,121,908329.5868,46.81818182,31,1,0,0,34,2020196055
汤皓羽,18796,0.3529,173,299,467178.6622,38.34448161,88,83,0,0,34,1298887527
李欢,25998,0.3804,517,1306,89252.5268,52.56278714,375,150,0,0,34,2131272941
刘子赫,18537,0.3575,100,371,322010.1348,29.6361186,97,5,0,0,34,1932376750
盛君,30476,0.3707,193,815,103568.0982,50.38404908,495,21,0,14.8571,34,2856548130
马小倩,21635,0.3451,292,923,154860.13,43.53412784,324,46,0,0,34,1800231385
高冬雨,17382,0.3567,129,49,3034049.388,34.6122449,25,2,18,0,34,1667946652
陈进,18947,0.3576,240,132,909237.2727,28.18181818,17,5,0,0,34,1800099274
黄诗雅,20522,0.3809,351,1082,123076.2477,72.65526802,474,5,0,0,34,1595725995
鹿凌桀,18951,0.3575,144,636,199277.6415,38.83962264,125,19,0,0,34,1990514407
李康宜,17163,0.2998,34,0,0,0,0,0,0,0,34,1779925531
赵伟淇,19671,0.3665,108,1883,67824.21668,81.89909719,658,19,0,0,34,1922089500
李梓祎,18511,0.3639,309,767,219653.8983,40.73011734,231,14,544,172.75,34,1654991827
王路,21174,0.3534,284,586,182226.6553,46.9778157,340,37,5148,0,34,2189341934
孟令宇,16633,0.3203,35,47,373076.1702,27.46808511,7,7,0,0,34,2127902365
赵翌铭,21634,0.3637,91,35,2210214.857,54.8,12,8,0,0,34,2014104883
安瑞甜,19275,0.3464,141,140,811760.1429,36.24285714,26,1,0,0,34,1823257835
王子伊,30211,0.3718,179,242,336689.0083,54.25619835,60,4,0,0,34,2908038621
岳圣张,19490,0.3511,551,1404,88549.2735,52.59472934,492,46,0,0,34,1504185685
闫磊,25006,0.407,851,606,196057.6238,39.07425743,154,31,0,0,34,1799301137
王群英,17806,0.3594,106,38,1833137.368,17.34210526,8,8,0,0,34,1930809073
林佑星,18322,0.336,87,221,468306.5158,26.18099548,11,2,0,0,34,1850213842
李柏羽,17155,0.344,87,0,0,0,0,0,0,0,34,1807106202
朱莹,23617,0.3605,347,995,143064.0603,55.71859296,364,20,12,1235.6499,34,1242228210
侯世甲,20629,0.3539,205,284,308011.6901,49.72183099,95,2,6938,7940.3613,34,1587485910
马洪虎,23445,0.3731,230,255,524138.3529,48.95686275,54,17,0,0,34,1254418780
赵炬,18167,0.359,87,49,2215184.082,42.32653061,13,4,0,0,34,1287137182
方松,22197,0.3591,597,3098,51500.87799,57.38766946,854,265,0,0,34,1678666495
李大海,21103,0.3608,192,2036,76886.13949,31.17829077,253,122,0,0,34,1708345040
蔡昌健,23963,0.3868,280,784,169736.0204,43.6505102,238,6,0,0,34,1897341653
金竹,18320,0.3589,422,470,295008.383,41.71914894,105,11,18,0,34,1290269985
王凯蒂,19278,0.3238,122,937,122856.4354,60.81643543,164,13,0,0,34,2216379084
释恒德,25970,0.3585,69,877,100034.2303,58.39794755,231,21,0,0,34,2787758701
胡珂瑜,18671,0.3548,425,1999,64981.53077,60.29664832,699,386,0,0,34,1923829484
路嘉欣,19374,0.3248,241,1075,140256.3349,40.93860465,118,121,0,0,34,1750036045
杨济妤,18937,0.382,203,365,434198.4658,75.56712329,179,42,0,0,34,1314116445
韩景火,21771,0.4025,555,577,231141.7331,51.40034662,173,71,0,0,34,1844173314
袁菲,16678,0.2731,47,1008,165712.381,54.71626984,339,18,0,0,34,1632072623
陈楠,22355,0.3639,82,162,691871.1111,49.95679012,50,10,0,0,34,2216882887
卢杰君,22009,0.3768,236,76,1492851.316,43.42105263,27,1,0,0,34,2159270793
王子兮,31247,0.4459,1115,1583,45649.57675,60.6563487,306,55,0,0,34,1357972743
马丽,24623,0.3624,92,224,350427.5893,98.62053571,85,4,0,0,34,2085384565
蔡小楼,17429,0.3412,495,309,293808.1553,51.02265372,151,94,2,46,34,2411746880
梁慧恩,20489,0.3323,181,978,127221.2883,57.10531697,111,30,0,0,34,1916195887
魏冠男,24848,0.369,262,196,579237.551,30.94897959,44,8,0,0,34,2191244960
郭帅,19492,0.3526,309,1400,95358.47143,55.85642857,374,49,0,0,34,1236673583
林睿,22943,0.3482,367,213,553673.5211,36.34741784,63,6,0,0,34,1808748824
汪胜男,28518,0.3805,243,2257,61567.36376,41.07266283,732,165,4003,10648.793,34,1827525621
郭柯宇,20221,0.3545,249,438,321803.4247,49.36757991,180,6,0,0,34,1262721951
段博文,18597,0.3529,138,255,533315.0588,35.82352941,83,6,0,0,34,1867685751
王艺凝,24967,0.3794,361,1001,100387.6124,33.34665335,424,28,0,0,34,2048352227
杨翌,21593,0.3627,145,979,153698.9785,57.72522983,317,16,0,0,34,1726670300
樊丽娜,38805,0.3595,694,201,440759.1045,47.74626866,47,0,0,0,34,2370199763
千喆,19450,0.3766,252,251,509881.6733,31.01992032,38,12,4184,130.5,34,1550172080
金玥,19897,0.3676,433,318,405288.1132,64.73584906,136,5,0,0,34,1820315085
柴菁,26954,0.3851,248,50,474681.6,27.46,20,1,0,0,34,2626987315
戴长江,26575,0.3713,300,625,189093.696,39.0128,166,89,0,0,34,2151970752
陈之辉,27469,0.3898,700,40,2373232.5,31.65,13,3,0,0,34,2289270274
姜小辣,20286,0.3591,191,313,388428.3067,57.41214058,118,58,0,0,34,2021197287
金喜善,0,0,0,0,0,0,0,0,0,0,34,1998400985
杜诗梅,17606,0.3456,162,219,314816.1644,53.97716895,23,2,0,0,34,1794195922
夏天尘,19118,0.3707,384,1314,107975.1598,41.75190259,333,32,0,0,34,1802728943
郑凯中,83858,0.4261,1932,2204,57993.37568,70.11025408,279,91,0,0,34,1985401651
赵芸萱,24891,0.3983,401,2041,67733.15042,49.4233219,855,141,0,0,34,1158087454
骆胤鸣,17939,0.3372,294,3801,40846.70876,56.23362273,575,26,0,0,34,1735625410
罗杨,24426,0.3594,106,180,275995,28.89444444,53,6,0,0,35,2703654871
吴玉华,17164,0.3554,499,1933,47801.56234,68.38385929,596,174,0,0,35,1115935921
李金江,19128,0.3645,395,755,181867.4702,27.33907285,138,19,0,0,35,1373874255
李欣,19093,0.3736,332,1379,109816.7948,52.15300943,464,60,0,0,35,1268316810
梁家榕,18134,0.3305,233,447,317342.2819,63.85458613,77,34,0,0,35,1810538020
于婷婷,19271,0.3718,527,1094,137546.5996,46.61243144,289,73,0,0,35,1712634414
李昌剑-,19664,0.3621,224,355,352978.6479,40.36619718,60,4,0,0,35,1965662431
杜宇航,18195,0.3475,180,756,153016.8254,27.99206349,168,13,0,0,35,1739922543
唐梦娅,18187,0.3559,685,1593,90948.70056,41.32077841,466,24,0,0,35,1771025940
于洋,19490,0.3691,207,1325,101790.5208,38.70490566,327,27,0,0,35,1244779060
张艺心,24670,0.4342,1586,555,227837.0811,43.79459459,200,57,0,0,35,1823200667
刘小僖,20588,0.3505,350,1491,77671.10664,53.84842388,327,350,0,8,35,1888107384
马文亮,26134,0.3566,186,0,0,0,0,0,0,0,35,2728866463
韩岳,21470,0.3733,261,1482,85933.88664,23.4122807,434,61,0,0,35,1769905713
郑恕峰,18739,0.3365,281,3272,19073.41687,71.71149144,552,33,0,0,35,1819327397
戚蓝尹,24218,0.3575,229,177,678472.8814,74.68361582,69,1,0,0,35,1901162013
亓越蕐,20643,0.3842,261,3096,50641.41473,46.124677,935,149,0,0,35,1659177672
